user_id,tw_lag7_watched,tw_lag6_watched,tw_lag5_watched,tw_lag4_watched,tw_lag3_watched,tw_lag2_watched,tw_lag1_watched,average_completion,total_sessions,num_genre,num_weekday,num_timeday,most_genre_Children's,most_genre_Comedy,most_genre_Drama,most_genre_Entertainment,most_genre_Factual,most_genre_Learning,most_genre_Music,most_genre_News,most_genre_Religion & Ethics,most_genre_Sport,most_genre_Weather,most_weekday_weekday_0,most_weekday_weekday_1,most_weekday_weekday_2,most_weekday_weekday_3,most_weekday_weekday_4,most_weekday_weekday_5,most_weekday_weekday_6,most_timeday_Afternoon,most_timeday_Evening,most_timeday_Morning,most_timeday_Night
TGNDIC,2.9489,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TGQSXH,603.6661833333333,756.2027166666667,624.3554166666667,574.6398333333334,561.9947666666668,374.5973333333333,457.7458666666668,0.29215293981721613,448,9,7,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
TGUIWZ,0.0,85.69153333333333,13.765883333333335,0.0,0.0,15.798733333333333,0.0,0.17532677604166666,12,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
TGXFSK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGXNJR,0.0,1179.364733333333,0.0,0.0,0.0,0.0,0.0,0.7786027493309596,6,7,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
TGZWBT,27.05498333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.5723877777777778,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
THABCM,32.36391666666667,0.0,5.933199999999999,2.221,13.900083333333335,71.35881666666666,0.0,0.19229737969527883,29,6,6,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
THBSBY,0.0,3.0007,0.0,0.0,0.0,0.0,0.0,0.4932657534246576,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
THDVGA,1.4747,8.138733333333333,1.3539833333333333,0.0,0.0,1.0541166666666666,0.0,0.6248979054424514,8,3,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
THFWAJ,0.9945333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.20647750865051906,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
THHQDH,0.0,0.0,0.0,0.0,0.0,0.16673333333333334,0.0,0.013798620689655173,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
THIWJI,390.5156666666667,309.38106666666664,374.25631666666663,386.7940833333334,387.1035666666668,291.2992,335.89623333333327,0.7277129364947067,185,7,7,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
THKGUE,0.13635,0.0,0.0,0.0,0.0,0.0,0.0,0.013635,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
THLZOY,0.0,0.0,11.335783333333334,0.0,0.0,0.0,0.0,0.09461175925925923,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
THNDFP,8.955216666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.26354843597798555,8,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
THPYOF,0.0,0.0,0.0,0.0,0.0,291.18360000000007,451.69921666666664,0.2624537806417744,60,2,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
THSETZ,76.93249999999999,146.61131666666665,30.2195,0.14683333333333332,51.02603333333334,0.0,0.0,0.25058817988852705,39,6,7,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
THSHRU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THTAKE,64.96163333333334,245.8337,29.576783333333335,1.3671833333333334,0.0,0.0,0.0,0.32067025125866827,21,5,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
THTAWN,102.07966666666665,1.0077500000000001,13.099349999999998,0.0,0.0,3.7306833333333334,0.8466833333333333,0.11989955856595512,14,4,6,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
THXVKV,0.0,0.0,175.83428333333333,29.265533333333334,0.0,0.0,0.0,0.5032910680962164,9,2,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
THZTPD,42.054916666666664,54.375550000000004,0.0,0.0,0.0,0.0,0.0,0.26296791335352426,20,3,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
TIADOJ,0.0,1.8415333333333332,0.0,0.0,0.0,0.0,0.0,1.0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
TICQRB,293.89755,413.95224999999994,183.14208333333335,460.91639999999995,172.86283333333333,204.5455333333333,115.82236666666668,0.3840064234002889,153,9,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
TIGDOU,193.49536666666665,228.1724833333333,336.9718499999999,471.58628333333337,429.31871666666666,117.98428333333332,60.07445,0.20627175458265035,225,9,7,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
TIHHMW,239.15461666666667,155.4073833333333,161.73315,104.90093333333333,536.0029666666666,406.02343333333346,131.16148333333334,0.1549440921529903,128,7,7,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
TIIJLC,0.0,4.468,0.0,0.0,0.0,0.0,0.0,0.049644444444444435,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
TIKJEP,0.0,0.0,0.21108333333333335,0.0,1.7477333333333331,0.0,0.6632833333333333,0.009372290564373898,5,3,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
TIMVON,13.283700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.08636574074074074,3,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
TINATJ,0.0,3.271316666666667,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
TIOXXG,9.206983333333334,0.0,0.0,0.0,30.248616666666663,35.709,8.030583333333333,0.14745544555915138,11,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
TIQFUN,10.887333333333334,0.0,0.0,0.0,1.6946666666666668,0.0,0.0,0.7386854460093897,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
TISYIE,11.249849999999999,161.0264,228.77815,42.3495,103.77078333333334,75.10301666666666,117.52286666666667,0.4615977553753324,54,7,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
TITRMZ,0.12738333333333335,0.0,0.0,0.0,0.0,1.7108999999999999,0.0,0.07766134455430007,4,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
TITVDL,0.0,130.71479999999997,107.73918333333333,126.315,336.1517999999999,0.0,127.6374666666667,0.36671328902757855,62,4,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
TJAYNA,0.0,13.593533333333333,414.10519999999997,97.97608333333332,116.3921,744.6071999999999,302.48806666666667,0.4740477418517367,73,5,6,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
TJDXHL,58.74768333333333,0.9145666666666666,0.0,0.0,0.9190166666666668,0.0,0.0,0.7442798653198652,4,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
TJFOAX,10.99175,51.39595,13.822066666666668,1.2863333333333333,55.35121666666666,0.0,119.68291666666667,0.31724051998665065,28,4,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
TJIFCP,162.1651333333334,149.14571666666666,83.23003333333334,93.11286666666666,60.138999999999996,137.06118333333333,0.0,0.3327549635189791,46,4,6,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
TJJETQ,36.543416666666666,214.01833333333332,70.44945000000001,19.575466666666667,18.650933333333334,20.644333333333332,0.0,0.2578116957334975,62,5,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
TJJYHE,0.0,1.4964166666666667,0.0,0.0,0.0,0.0,0.0,0.006693055555555555,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
TJKBMW,33.4208,0.0,0.0,1.3027166666666665,0.0,7.492249999999999,3.7509833333333336,0.5021448124501979,7,4,4,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
TJMMCJ,0.0,0.0,0.7467666666666667,0.0,0.0,0.5006166666666667,0.0,0.6146450381679389,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
TJOBDL,90.15115,0.0,0.0,0.0,0.0,0.0,0.0,0.5012425925925926,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
TJPOWK,89.06855,58.02324999999999,0.0,0.0,0.0,44.93753333333333,0.0,0.6214717222222221,5,1,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
